Potential/V,Current/A
0.0,5.792e-06
0.001,5.19e-06
0.002,5.09e-06
0.003,4.989e-06
0.004,3.385e-06
0.005,4.287e-06
0.006,3.385e-06
0.007,4.287e-06
0.008,4.688e-06
0.009,4.588e-06
0.01,4.488e-06
0.011,4.287e-06
0.012,4.287e-06
0.013,3.986e-06
0.014,3.385e-06
0.015,3.986e-06
0.016,3.986e-06
0.017,4.087e-06
0.018,3.986e-06
0.019,4.688e-06
0.02,3.485e-06
0.021,3.284e-06
0.022,4.187e-06
0.023,4.187e-06
0.024,4.388e-06
0.025,4.287e-06
0.026,5.19e-06
0.027,4.488e-06
0.028,4.388e-06
0.029,4.388e-06
0.03,4.789e-06
0.031,4.488e-06
0.032,4.789e-06
0.033,4.087e-06
0.034,4.187e-06
0.035,3.886e-06
0.036,4.388e-06
0.037,4.187e-06
0.038,4.488e-06
0.039,3.786e-06
0.04,3.585e-06
0.041,4.388e-06
0.042,3.786e-06
0.043,3.385e-06
0.044,4.187e-06
0.045,3.385e-06
0.046,3.184e-06
0.047,2.181e-06
0.048,2.482e-06
0.049,2.181e-06
0.05,2.582e-06
0.051,2.883e-06
0.052,3.786e-06
0.053,3.084e-06
0.054,3.084e-06
0.055,3.485e-06
0.056,3.886e-06
0.057,4.588e-06
0.058,4.488e-06
0.059,3.986e-06
0.06,3.686e-06
0.061,4.187e-06
0.062,4.287e-06
0.063,4.187e-06
0.064,3.986e-06
0.065,4.688e-06
0.066,5.09e-06
0.067,5.892e-06
0.068,5.591e-06
0.069,5.19e-06
0.07,5.39e-06
0.071,3.585e-06
0.072,5.19e-06
0.073,5.992e-06
0.074,5.892e-06
0.075,5.591e-06
0.076,7.196e-06
0.077,7.095e-06
0.078,6.694e-06
0.079,6.393e-06
0.08,6.393e-06
0.081,6.092e-06
0.082,5.792e-06
0.083,6.193e-06
0.084,5.992e-06
0.085,6.193e-06
0.086,6.393e-06
0.087,5.29e-06
0.088,6.794e-06
0.089,5.691e-06
0.09,5.591e-06
0.091,5.892e-06
0.092,5.792e-06
0.093,5.29e-06
0.094,4.287e-06
0.095,4.688e-06
0.096,4.889e-06
0.097,5.29e-06
0.098,4.488e-06
0.099,3.485e-06
0.1,4.588e-06
0.101,3.686e-06
0.102,4.588e-06
0.103,4.688e-06
0.104,3.686e-06
0.105,4.087e-06
0.106,4.388e-06
0.107,4.889e-06
0.108,5.591e-06
0.109,4.588e-06
0.11,4.889e-06
0.111,3.786e-06
0.112,4.789e-06
0.113,4.789e-06
0.114,4.488e-06
0.115,4.488e-06
0.116,4.588e-06
0.117,4.187e-06
0.118,4.989e-06
0.119,5.19e-06
0.12,4.889e-06
0.121,4.187e-06
0.122,4.889e-06
0.123,4.287e-06
0.124,4.488e-06
0.125,5.491e-06
0.126,4.789e-06
0.127,3.986e-06
0.128,3.585e-06
0.129,3.686e-06
0.13,4.688e-06
0.131,4.187e-06
0.132,4.287e-06
0.133,3.385e-06
0.134,3.886e-06
0.135,3.986e-06
0.136,3.886e-06
0.137,4.388e-06
0.138,4.388e-06
0.139,4.688e-06
0.14,3.986e-06
0.141,3.686e-06
0.142,2.883e-06
0.143,4.087e-06
0.144,3.385e-06
0.145,3.184e-06
0.146,3.886e-06
0.147,4.588e-06
0.148,3.786e-06
0.149,2.984e-06
0.15,3.686e-06
0.151,3.284e-06
0.152,5.19e-06
0.153,4.287e-06
0.154,4.989e-06
0.155,6.092e-06
0.156,4.889e-06
0.157,6.293e-06
0.158,5.892e-06
0.159,6.895e-06
0.16,5.591e-06
0.161,5.992e-06
0.162,6.393e-06
0.163,5.992e-06
0.164,5.691e-06
0.165,5.591e-06
0.166,5.19e-06
0.167,5.491e-06
0.168,4.287e-06
0.169,5.792e-06
0.17,5.892e-06
0.171,5.29e-06
0.172,4.889e-06
0.173,5.691e-06
0.174,5.792e-06
0.175,6.794e-06
0.176,6.794e-06
0.177,6.092e-06
0.178,6.092e-06
0.179,7.095e-06
0.18,6.494e-06
0.181,6.293e-06
0.182,4.989e-06
0.183,4.889e-06
0.184,6.293e-06
0.185,5.792e-06
0.186,4.989e-06
0.187,4.989e-06
0.188,5.792e-06
0.189,5.491e-06
0.19,5.09e-06
0.191,4.588e-06
0.192,6.393e-06
0.193,5.491e-06
0.194,5.29e-06
0.195,4.688e-06
0.196,4.287e-06
0.197,4.287e-06
0.198,4.388e-06
0.199,3.886e-06
0.2,4.488e-06
0.201,4.388e-06
0.202,3.886e-06
0.203,4.789e-06
0.204,4.789e-06
0.205,6.092e-06
0.206,6.694e-06
0.207,6.594e-06
0.208,5.691e-06
0.209,5.691e-06
0.21,5.691e-06
0.211,5.39e-06
0.212,6.794e-06
0.213,5.691e-06
0.214,5.691e-06
0.215,6.393e-06
0.216,6.193e-06
0.217,6.092e-06
0.218,5.691e-06
0.219,6.092e-06
0.22,5.892e-06
0.221,5.792e-06
0.222,5.591e-06
0.223,5.892e-06
0.224,6.794e-06
0.225,6.895e-06
0.226,6.393e-06
0.227,6.393e-06
0.228,5.992e-06
0.229,5.892e-06
0.23,6.092e-06
0.231,5.792e-06
0.232,4.989e-06
0.233,4.989e-06
0.234,5.792e-06
0.235,5.892e-06
0.236,6.092e-06
0.237,5.691e-06
0.238,4.789e-06
0.239,4.588e-06
0.24,4.488e-06
0.241,4.488e-06
0.242,5.19e-06
0.243,4.287e-06
0.244,4.488e-06
0.245,4.488e-06
0.246,5.29e-06
0.247,4.488e-06
0.248,4.588e-06
0.249,3.786e-06
0.25,5.29e-06
0.251,5.19e-06
0.252,5.892e-06
0.253,6.092e-06
0.254,6.494e-06
0.255,6.794e-06
0.256,6.193e-06
0.257,5.892e-06
0.258,6.293e-06
0.259,5.491e-06
0.26,5.691e-06
0.261,5.992e-06
0.262,5.39e-06
0.263,5.491e-06
0.264,6.092e-06
0.265,5.691e-06
0.266,6.193e-06
0.267,6.393e-06
0.268,6.393e-06
0.269,6.092e-06
0.27,6.193e-06
0.271,5.892e-06
0.272,5.491e-06
0.273,5.09e-06
0.274,5.29e-06
0.275,5.892e-06
0.276,6.494e-06
0.277,7.196e-06
0.278,6.393e-06
0.279,6.995e-06
0.28,6.694e-06
0.281,6.494e-06
0.282,6.293e-06
0.283,5.992e-06
0.284,6.293e-06
0.285,6.092e-06
0.286,6.393e-06
0.287,6.293e-06
0.288,5.892e-06
0.289,5.691e-06
0.29,4.989e-06
0.291,4.789e-06
0.292,5.39e-06
0.293,5.39e-06
0.294,5.09e-06
0.295,5.491e-06
0.296,5.691e-06
0.297,5.29e-06
0.298,5.19e-06
0.299,4.488e-06
0.3,4.187e-06
0.301,5.29e-06
0.302,4.889e-06
0.303,5.29e-06
0.304,5.591e-06
0.305,5.691e-06
0.306,5.792e-06
0.307,5.792e-06
0.308,5.09e-06
0.309,4.187e-06
0.31,3.786e-06
0.311,4.688e-06
0.312,4.588e-06
0.313,3.585e-06
0.314,5.19e-06
0.315,4.789e-06
0.316,4.287e-06
0.317,4.688e-06
0.318,4.187e-06
0.319,3.585e-06
0.32,3.786e-06
0.321,5.792e-06
0.322,4.488e-06
0.323,5.591e-06
0.324,5.09e-06
0.325,4.889e-06
0.326,4.588e-06
0.327,5.29e-06
0.328,5.591e-06
0.329,5.691e-06
0.33,5.691e-06
0.331,4.388e-06
0.332,4.889e-06
0.333,4.588e-06
0.334,4.588e-06
0.335,5.39e-06
0.336,5.691e-06
0.337,5.691e-06
0.338,5.792e-06
0.339,5.792e-06
0.34,4.789e-06
0.341,5.39e-06
0.342,5.691e-06
