Potential/V,Current/A
0.0,1.582e-05
0.001,-1.035e-05
0.002,-1.948e-05
0.003,-2.329e-05
0.004,-2.53e-05
0.005,-2.64e-05
0.006,-2.7e-05
0.007,-2.861e-05
0.008,-2.951e-05
0.009,-3.061e-05
0.01,-3.192e-05
0.011,-3.222e-05
0.012,-3.342e-05
0.013,-3.462e-05
0.014,-3.392e-05
0.015,-3.492e-05
0.016,-3.543e-05
0.017,-3.623e-05
0.018,-3.663e-05
0.019,-3.823e-05
0.02,-3.884e-05
0.021,-3.924e-05
0.022,-3.994e-05
0.023,-4.064e-05
0.024,-3.954e-05
0.025,-4.094e-05
0.026,-4.074e-05
0.027,-4.204e-05
0.028,-4.154e-05
0.029,-4.204e-05
0.03,-4.365e-05
0.031,-4.295e-05
0.032,-4.275e-05
0.033,-4.315e-05
0.034,-4.345e-05
0.035,-4.425e-05
0.036,-4.495e-05
0.037,-4.445e-05
0.038,-4.495e-05
0.039,-4.576e-05
0.04,-4.505e-05
0.041,-4.596e-05
0.042,-4.636e-05
0.043,-4.676e-05
0.044,-4.686e-05
0.045,-4.716e-05
0.046,-4.726e-05
0.047,-4.816e-05
0.048,-4.716e-05
0.049,-4.766e-05
0.05,-4.766e-05
0.051,-4.836e-05
0.052,-4.896e-05
0.053,-4.957e-05
0.054,-4.967e-05
0.055,-4.967e-05
0.056,-4.927e-05
0.057,-5.037e-05
0.058,-5.057e-05
0.059,-5.097e-05
0.06,-5.117e-05
0.061,-5.167e-05
0.062,-5.227e-05
0.063,-5.177e-05
0.064,-5.268e-05
0.065,-5.257e-05
0.066,-5.247e-05
0.067,-5.247e-05
0.068,-5.308e-05
0.069,-5.247e-05
0.07,-5.288e-05
0.071,-5.378e-05
0.072,-5.278e-05
0.073,-5.378e-05
0.074,-5.348e-05
0.075,-5.418e-05
0.076,-5.418e-05
0.077,-5.358e-05
0.078,-5.368e-05
0.079,-5.458e-05
0.08,-5.298e-05
0.081,-5.468e-05
0.082,-5.518e-05
0.083,-5.508e-05
0.084,-5.458e-05
0.085,-5.398e-05
0.086,-5.458e-05
0.087,-5.518e-05
0.088,-5.488e-05
0.089,-5.528e-05
0.09,-5.619e-05
0.091,-5.518e-05
0.092,-5.558e-05
0.093,-5.578e-05
0.094,-5.639e-05
0.095,-5.608e-05
0.096,-5.729e-05
0.097,-5.619e-05
0.098,-5.689e-05
0.099,-5.699e-05
0.1,-5.598e-05
0.101,-5.619e-05
0.102,-5.749e-05
0.103,-5.608e-05
0.104,-5.619e-05
0.105,-5.588e-05
0.106,-5.629e-05
0.107,-5.619e-05
0.108,-5.699e-05
0.109,-5.669e-05
0.11,-5.669e-05
0.111,-5.619e-05
0.112,-5.578e-05
0.113,-5.639e-05
0.114,-5.739e-05
0.115,-5.739e-05
0.116,-5.779e-05
0.117,-5.849e-05
0.118,-5.929e-05
0.119,-5.879e-05
0.12,-5.919e-05
0.121,-5.899e-05
0.122,-5.839e-05
0.123,-5.839e-05
0.124,-5.939e-05
0.125,-5.829e-05
0.126,-5.899e-05
0.127,-5.899e-05
0.128,-5.899e-05
0.129,-6.03e-05
0.13,-6.06e-05
0.131,-5.959e-05
0.132,-5.919e-05
0.133,-5.959e-05
0.134,-5.97e-05
0.135,-6.03e-05
0.136,-6.09e-05
0.137,-6.11e-05
0.138,-6.26e-05
0.139,-6.17e-05
0.14,-6.18e-05
0.141,-6.28e-05
0.142,-6.25e-05
0.143,-6.26e-05
0.144,-6.21e-05
0.145,-6.26e-05
0.146,-6.24e-05
0.147,-6.371e-05
0.148,-6.29e-05
0.149,-6.31e-05
0.15,-6.371e-05
0.151,-6.361e-05
0.152,-6.26e-05
0.153,-6.24e-05
0.154,-6.25e-05
0.155,-6.19e-05
0.156,-6.29e-05
0.157,-6.27e-05
0.158,-6.3e-05
0.159,-6.3e-05
0.16,-6.341e-05
0.161,-6.361e-05
0.162,-6.331e-05
0.163,-6.331e-05
0.164,-6.461e-05
0.165,-6.481e-05
0.166,-6.421e-05
0.167,-6.341e-05
0.168,-6.421e-05
0.169,-6.431e-05
0.17,-6.371e-05
0.171,-6.441e-05
0.172,-6.321e-05
0.173,-6.331e-05
0.174,-6.391e-05
0.175,-6.381e-05
0.176,-6.461e-05
0.177,-6.421e-05
0.178,-6.411e-05
0.179,-6.531e-05
0.18,-6.511e-05
0.181,-6.551e-05
0.182,-6.661e-05
0.183,-6.661e-05
0.184,-6.682e-05
0.185,-6.762e-05
0.186,-6.702e-05
0.187,-6.692e-05
0.188,-6.702e-05
0.189,-6.732e-05
0.19,-6.762e-05
0.191,-6.621e-05
0.192,-6.802e-05
0.193,-6.832e-05
0.194,-6.702e-05
0.195,-6.832e-05
0.196,-6.942e-05
0.197,-6.942e-05
0.198,-6.842e-05
0.199,-6.852e-05
0.2,-6.802e-05
0.201,-6.872e-05
0.202,-6.882e-05
0.203,-6.902e-05
0.204,-6.942e-05
0.205,-6.972e-05
0.206,-6.932e-05
0.207,-6.892e-05
0.208,-6.992e-05
0.209,-7.093e-05
0.21,-7.223e-05
0.211,-7.033e-05
0.212,-7.063e-05
0.213,-7.073e-05
0.214,-7.143e-05
0.215,-7.103e-05
0.216,-7.173e-05
0.217,-7.203e-05
0.218,-7.223e-05
0.219,-7.283e-05
0.22,-7.323e-05
0.221,-7.263e-05
0.222,-7.293e-05
0.223,-7.303e-05
0.224,-7.313e-05
0.225,-7.434e-05
0.226,-7.404e-05
0.227,-7.464e-05
0.228,-7.514e-05
0.229,-7.564e-05
0.23,-7.574e-05
0.231,-7.604e-05
0.232,-7.614e-05
0.233,-7.604e-05
0.234,-7.644e-05
0.235,-7.684e-05
0.236,-7.785e-05
0.237,-7.694e-05
0.238,-7.704e-05
0.239,-7.745e-05
0.24,-7.805e-05
0.241,-7.825e-05
0.242,-7.905e-05
0.243,-7.865e-05
0.244,-7.895e-05
0.245,-8.055e-05
0.246,-8.076e-05
0.247,-8.076e-05
0.248,-7.965e-05
0.249,-8.076e-05
0.25,-8.045e-05
0.251,-8.066e-05
