Time/sec,Current/A
0.1,2.586e-05
0.2,2.498e-05
0.3,2.417e-05
0.4,2.342e-05
0.5,2.271e-05
0.6,2.201e-05
0.7,2.139e-05
0.8,2.074e-05
0.9,2.021e-05
1.0,1.967e-05
1.1,1.911e-05
1.2,1.863e-05
1.3,1.813e-05
1.4,1.766e-05
1.5,1.721e-05
1.6,1.678e-05
1.7,1.637e-05
1.8,1.597e-05
1.9,1.557e-05
2.0,1.524e-05
2.1,1.485e-05
2.2,1.452e-05
2.3,1.419e-05
2.4,1.387e-05
2.5,1.354e-05
2.6,1.325e-05
2.7,1.29e-05
2.8,1.269e-05
2.9,1.238e-05
3.0,1.211e-05
3.1,1.187e-05
3.2,1.163e-05
3.3,1.136e-05
3.4,1.108e-05
3.5,1.089e-05
3.6,1.064e-05
3.7,1.043e-05
3.8,1.017e-05
3.9,1.002e-05
4.0,9.815e-06
4.1,9.593e-06
4.2,9.403e-06
4.3,9.207e-06
4.4,9.019e-06
4.5,8.84e-06
4.6,8.669e-06
4.7,8.488e-06
4.8,8.303e-06
4.9,8.135e-06
5.0,8.025e-06
5.1,7.831e-06
5.2,7.655e-06
5.3,7.545e-06
5.4,7.351e-06
5.5,7.209e-06
5.6,7.082e-06
5.7,6.928e-06
5.8,6.789e-06
5.9,6.655e-06
6.0,6.526e-06
6.1,6.375e-06
6.2,6.27e-06
6.3,6.108e-06
6.4,6.031e-06
6.5,5.878e-06
6.6,5.781e-06
6.7,5.633e-06
6.8,5.519e-06
6.9,5.413e-06
7.0,5.323e-06
7.1,5.218e-06
7.2,5.127e-06
7.3,4.948e-06
7.4,4.901e-06
7.5,4.772e-06
7.6,4.711e-06
7.7,4.581e-06
7.8,4.449e-06
7.9,4.374e-06
8.0,4.294e-06
8.1,4.206e-06
8.2,4.114e-06
8.3,4.018e-06
8.4,3.925e-06
8.5,3.836e-06
8.6,3.752e-06
8.7,3.632e-06
8.8,3.565e-06
8.9,3.501e-06
9.0,3.395e-06
9.1,3.355e-06
9.2,3.266e-06
9.3,3.172e-06
9.4,3.066e-06
9.5,3.008e-06
9.6,2.954e-06
9.7,2.878e-06
9.8,2.771e-06
9.9,2.702e-06
10.0,2.682e-06
10.1,2.592e-06
10.2,2.488e-06
10.3,2.449e-06
10.4,2.364e-06
10.5,2.297e-06
10.6,2.225e-06
10.7,2.126e-06
10.8,2.122e-06
10.9,2.037e-06
11.0,2.002e-06
11.1,1.906e-06
11.2,1.833e-06
11.3,1.814e-06
11.4,1.729e-06
11.5,1.681e-06
11.6,1.563e-06
11.7,1.592e-06
11.8,1.48e-06
11.9,1.477e-06
12.0,1.395e-06
