Freq/Hz,Z'/ohm,"Z""/ohm",Z/ohm,Phase/deg
82520.0,1.675,0.8654,1.886,27.3
68120.0,1.648,0.7298,1.803,23.9
56230.0,1.642,0.5648,1.737,19.0
46400.0,1.64,0.4618,1.703,15.7
38280.0,1.642,0.3644,1.682,12.5
31590.0,1.644,0.2957,1.67,10.2
26070.0,1.647,0.2324,1.663,8.0
21530.0,1.65,0.1815,1.66,6.3
17770.0,1.653,0.1352,1.658,4.7
14670.0,1.657,0.09555,1.66,3.3
12110.0,1.663,0.0743,1.664,2.6
9985.0,1.67,0.05835,1.671,2.0
8179.0,1.678,0.02927,1.678,1.0
6738.0,1.686,-0.004093,1.686,-0.1
5566.0,1.693,-0.03908,1.693,-1.3
4590.0,1.701,-0.0713,1.702,-2.4
3809.0,1.709,-0.1004,1.712,-3.4
3125.0,1.719,-0.1304,1.724,-4.3
2588.0,1.73,-0.1654,1.738,-5.5
2148.0,1.743,-0.2043,1.755,-6.7
1758.0,1.758,-0.247,1.775,-8.0
1465.0,1.776,-0.2952,1.8,-9.4
1196.0,1.797,-0.3497,1.831,-11.0
976.6,1.822,-0.4136,1.868,-12.8
825.4,1.848,-0.4841,1.91,-14.7
681.3,1.877,-0.558,1.959,-16.6
562.3,1.915,-0.6496,2.023,-18.7
464.2,1.962,-0.7626,2.105,-21.2
383.1,2.007,-0.8757,2.19,-23.6
316.2,2.05,-0.9921,2.277,-25.8
261.0,2.103,-1.149,2.397,-28.6
215.4,2.16,-1.33,2.537,-31.6
177.8,2.218,-1.54,2.701,-34.8
146.8,2.291,-1.832,2.933,-38.6
121.2,2.361,-2.143,3.189,-42.2
100.0,2.427,-2.46,3.456,-45.4
82.54,2.508,-2.886,3.823,-49.0
68.13,2.598,-3.394,4.274,-52.6
56.23,2.697,-3.989,4.815,-55.9
46.42,2.818,-4.709,5.488,-59.1
38.31,2.964,-5.582,6.321,-62.0
31.62,3.129,-6.635,7.335,-64.8
26.1,3.311,-7.885,8.552,-67.2
21.54,3.53,-9.399,10.04,-69.4
17.78,3.792,-11.22,11.85,-71.3
14.68,4.096,-13.4,14.01,-73.0
12.12,4.433,-15.93,16.53,-74.4
10.0,4.813,-18.83,19.44,-75.7
8.254,5.262,-22.27,22.88,-76.7
6.813,5.789,-26.44,27.07,-77.7
5.623,6.401,-31.49,32.13,-78.5
4.642,7.111,-37.57,38.24,-79.3
3.831,7.937,-44.89,45.59,-80.0
3.162,8.983,-53.63,54.38,-80.5
2.61,10.21,-64.14,64.94,-81.0
2.154,11.62,-76.72,77.6,-81.4
1.778,13.1,-92.05,92.97,-81.9
1.468,14.78,-110.5,111.5,-82.4
1.212,17.11,-132.2,133.3,-82.6
1.0,20.08,-157.4,158.6,-82.7
