Time/sec,Potential/V
1.0,0.02039
2.0,0.02105
3.0,0.02165
4.0,0.02222
5.0,0.02276
6.0,0.02328
7.0,0.02378
8.0,0.02427
9.0,0.02473
10.0,0.02517
11.0,0.02562
12.0,0.02603
13.0,0.02643
14.0,0.02681
15.0,0.02718
16.0,0.02754
17.0,0.02789
18.0,0.02822
19.0,0.02853
20.0,0.02883
21.0,0.02913
22.0,0.02941
23.0,0.02968
24.0,0.02995
25.0,0.0302
26.0,0.03046
27.0,0.03069
28.0,0.03093
29.0,0.03116
30.0,0.03137
31.0,0.03157
32.0,0.03176
33.0,0.03195
34.0,0.03214
35.0,0.03233
36.0,0.03249
37.0,0.03266
38.0,0.03281
39.0,0.03297
40.0,0.03311
41.0,0.03326
42.0,0.03339
43.0,0.03353
44.0,0.03366
45.0,0.03378
46.0,0.03392
47.0,0.03403
48.0,0.03415
49.0,0.03424
50.0,0.03435
51.0,0.03445
52.0,0.03454
53.0,0.03463
54.0,0.0347
55.0,0.03478
56.0,0.03486
57.0,0.03493
58.0,0.03501
59.0,0.03508
60.0,0.03514
