# technique: LSV
# step_index: 2
# timestamp: 2026-02-23T19:04:19.891471
# data_points: 1000
# param_e0: 0.0
# param_ef: 1.0
# param_scan_rate: 0.05
# param_seg_num: 1
# param_sample_interval_ms: 1
# param_elapsed_time: 29.6s
Potential/V,Current/A
0.0,1.03e-05
0.001,1.061e-05
0.002,9.803e-06
0.003,1.03e-05
0.004,1.081e-05
0.005,1.02e-05
0.006,1.101e-05
0.007,1.101e-05
0.008,1.03e-05
0.009,1.071e-05
0.01,9.502e-06
0.011,1e-05
0.012,8.7e-06
0.013,9.903e-06
0.014,9.302e-06
0.015,9.803e-06
0.016,1.05e-05
0.017,1.04e-05
0.018,1e-05
0.019,9.502e-06
0.02,9.402e-06
0.021,9.001e-06
0.022,1.061e-05
0.023,1.101e-05
0.024,1.03e-05
0.025,1.081e-05
0.026,1.01e-05
0.027,9.703e-06
0.028,1.03e-05
0.029,1.061e-05
0.03,1.02e-05
0.031,9.703e-06
0.032,1.061e-05
0.033,1.091e-05
0.034,1.04e-05
0.035,9.803e-06
0.036,1.111e-05
0.037,1.091e-05
0.038,1.01e-05
0.039,1.061e-05
0.04,1.081e-05
0.041,1.04e-05
0.042,1.03e-05
0.043,1.05e-05
0.044,1.061e-05
0.045,9.703e-06
0.046,9.602e-06
0.047,1e-05
0.048,1.01e-05
0.049,1.01e-05
0.05,9.903e-06
0.051,1.02e-05
0.052,1.061e-05
0.053,1.091e-05
0.054,1.091e-05
0.055,1.141e-05
0.056,1.081e-05
0.057,1.05e-05
0.058,1.04e-05
0.059,1.02e-05
0.06,1.061e-05
0.061,1.061e-05
0.062,1.071e-05
0.063,9.803e-06
0.064,9.803e-06
0.065,1.091e-05
0.066,1e-05
0.067,1.081e-05
0.068,8.8e-06
0.069,9.402e-06
0.07,9.201e-06
0.071,1.04e-05
0.072,1e-05
0.073,9.001e-06
0.074,8.8e-06
0.075,8.9e-06
0.076,9.402e-06
0.077,1.02e-05
0.078,1.01e-05
0.079,9.402e-06
0.08,9.302e-06
0.081,9.101e-06
0.082,9.302e-06
0.083,1.01e-05
0.084,9.302e-06
0.085,1.04e-05
0.086,9.101e-06
0.087,8.9e-06
0.088,8.6e-06
0.089,9.101e-06
0.09,9.001e-06
0.091,9.101e-06
0.092,9.101e-06
0.093,1.03e-05
0.094,1.04e-05
0.095,1.04e-05
0.096,1.071e-05
0.097,1.071e-05
0.098,9.903e-06
0.099,1.061e-05
0.1,1.01e-05
0.101,9.602e-06
0.102,9.703e-06
0.103,9.703e-06
0.104,1.04e-05
0.105,9.602e-06
0.106,1.05e-05
0.107,1.061e-05
0.108,9.903e-06
0.109,1.171e-05
0.11,1.121e-05
0.111,1.121e-05
0.112,1.081e-05
0.113,1.101e-05
0.114,1.05e-05
0.115,1.121e-05
0.116,1.05e-05
0.117,1.01e-05
0.118,1.04e-05
0.119,1.071e-05
0.12,1.081e-05
0.121,1.04e-05
0.122,1.091e-05
0.123,1.081e-05
0.124,1.111e-05
0.125,1.111e-05
0.126,1.01e-05
0.127,1.091e-05
0.128,1.081e-05
0.129,1.111e-05
0.13,1.111e-05
0.131,9.703e-06
0.132,9.703e-06
0.133,9.602e-06
0.134,8.9e-06
0.135,9.803e-06
0.136,9.001e-06
0.137,9.001e-06
0.138,9.502e-06
0.139,9.201e-06
0.14,9.201e-06
0.141,8.9e-06
0.142,9.803e-06
0.143,9.201e-06
0.144,8.299e-06
0.145,8.7e-06
0.146,9.101e-06
0.147,9.101e-06
0.148,8.8e-06
0.149,7.998e-06
0.15,9.001e-06
0.151,9.201e-06
0.152,9.602e-06
0.153,9.402e-06
0.154,9.402e-06
0.155,9.502e-06
0.156,9.201e-06
0.157,1.04e-05
0.158,9.602e-06
0.159,9.402e-06
0.16,8.499e-06
0.161,8.299e-06
0.162,9.302e-06
0.163,9.001e-06
0.164,9.101e-06
0.165,7.797e-06
0.166,8.7e-06
0.167,8.098e-06
0.168,8.7e-06
0.169,9.302e-06
0.17,8.9e-06
0.171,9.302e-06
0.172,9.001e-06
0.173,7.697e-06
0.174,8.499e-06
0.175,7.797e-06
0.176,7.998e-06
0.177,8.499e-06
0.178,9.502e-06
0.179,9.302e-06
0.18,8.299e-06
0.181,8.198e-06
0.182,8.299e-06
0.183,7.898e-06
0.184,8.399e-06
0.185,8.8e-06
0.186,8.9e-06
0.187,9.302e-06
0.188,8.299e-06
0.189,9.201e-06
0.19,9.001e-06
0.191,8.299e-06
0.192,8.198e-06
0.193,7.797e-06
0.194,8.299e-06
0.195,7.496e-06
0.196,7.095e-06
0.197,7.496e-06
0.198,8.299e-06
0.199,8.8e-06
0.2,8.299e-06
0.201,9.402e-06
0.202,1e-05
0.203,8.6e-06
0.204,1.02e-05
0.205,1e-05
0.206,1.03e-05
0.207,9.703e-06
0.208,9.201e-06
0.209,1.101e-05
0.21,1e-05
0.211,1e-05
0.212,9.101e-06
0.213,9.302e-06
0.214,9.703e-06
0.215,1.03e-05
0.216,9.903e-06
0.217,1.081e-05
0.218,9.903e-06
0.219,9.803e-06
0.22,9.602e-06
0.221,9.101e-06
