# technique: i-t
# step_index: 3
# timestamp: 2026-02-23T19:05:38.944257
# data_points: 600
# param_e0: 0.2
# param_seg_num: 1
# param_run_time_s: 60.0
# param_sample_interval_ms: 100
# param_elapsed_time: 69.7s
Time/sec,Current/A
0.1,1.25e-08
0.2,1.201e-08
0.3,1.25e-08
0.4,1.23e-08
0.5,1.075e-08
0.6,1.211e-08
0.7,1.133e-08
0.8,1.036e-08
0.9,1.017e-08
1.0,1.065e-08
1.1,1.153e-08
1.2,1.143e-08
1.3,1.162e-08
1.4,1.104e-08
1.5,1.104e-08
1.6,1.065e-08
1.7,9.389e-09
1.8,9.972e-09
1.9,1.007e-08
2.0,1.017e-08
2.1,9.778e-09
2.2,9.583e-09
2.3,1.026e-08
2.4,9.875e-09
2.5,9.583e-09
2.6,9.486e-09
2.7,9.195e-09
2.8,9e-09
2.9,1.017e-08
3.0,9.486e-09
3.1,9.778e-09
3.2,9.486e-09
3.3,9.486e-09
3.4,9.389e-09
3.5,1.036e-08
3.6,1.075e-08
3.7,1.133e-08
3.8,1.133e-08
3.9,1.114e-08
4.0,1.065e-08
4.1,1.153e-08
4.2,1.094e-08
4.3,1.162e-08
4.4,1.133e-08
4.5,9.778e-09
4.6,9.875e-09
4.7,1.046e-08
4.8,1.065e-08
4.9,1.065e-08
5.0,1.017e-08
5.1,1.046e-08
5.2,1.133e-08
5.3,1.026e-08
5.4,9.875e-09
5.5,9.778e-09
5.6,9.875e-09
5.7,1.065e-08
5.8,1.017e-08
5.9,9e-09
6.0,9.389e-09
6.1,1.007e-08
6.2,9.486e-09
6.3,1.085e-08
6.4,1.046e-08
6.5,1.094e-08
6.6,1.075e-08
6.7,9.972e-09
6.8,9.583e-09
6.9,1.007e-08
7.0,1.055e-08
7.1,1.065e-08
7.2,1.055e-08
7.3,9.972e-09
7.4,1.055e-08
7.5,1.046e-08
7.6,1.075e-08
7.7,1.036e-08
7.8,1.017e-08
7.9,8.806e-09
8.0,9.875e-09
8.1,1.007e-08
8.2,9.486e-09
8.3,9.875e-09
8.4,1.046e-08
8.5,1.026e-08
8.6,1.036e-08
8.7,9.583e-09
8.8,9.583e-09
8.9,9.875e-09
9.0,9.972e-09
9.1,9.972e-09
9.2,9.875e-09
9.3,9.583e-09
9.4,1.007e-08
9.5,9.778e-09
9.6,1.026e-08
9.7,1.017e-08
9.8,9.778e-09
9.9,9.389e-09
10.0,9.875e-09
10.1,9.68e-09
10.2,1.065e-08
10.3,1.017e-08
10.4,1.046e-08
10.5,9.68e-09
10.6,9.972e-09
10.7,8.709e-09
10.8,8.029e-09
10.9,7.738e-09
11.0,8.223e-09
11.1,8.612e-09
11.2,8.903e-09
11.3,1.007e-08
11.4,1.036e-08
11.5,9.972e-09
11.6,9.195e-09
11.7,9.583e-09
11.8,9.68e-09
11.9,9.195e-09
12.0,9.486e-09
12.1,1.036e-08
12.2,9.778e-09
12.3,1.036e-08
12.4,9.583e-09
12.5,9.972e-09
12.6,9.972e-09
12.7,1.026e-08
12.8,9.292e-09
12.9,9.583e-09
13.0,9.486e-09
13.1,8.806e-09
13.2,9.098e-09
13.3,9.098e-09
13.4,9.292e-09
13.5,8.223e-09
13.6,8.806e-09
13.7,9.583e-09
13.8,9.195e-09
13.9,9.098e-09
14.0,8.612e-09
14.1,9.778e-09
14.2,1.036e-08
14.3,9.972e-09
14.4,1.065e-08
14.5,1.017e-08
14.6,1.026e-08
14.7,9.389e-09
14.8,8.903e-09
14.9,8.612e-09
15.0,8.903e-09
15.1,8.903e-09
15.2,8.515e-09
15.3,8.418e-09
15.4,7.738e-09
15.5,8.029e-09
15.6,8.418e-09
15.7,8.126e-09
15.8,8.223e-09
15.9,8.223e-09
16.0,7.155e-09
16.1,7.641e-09
16.2,8.612e-09
16.3,9.389e-09
16.4,9.486e-09
16.5,9e-09
16.6,9.389e-09
16.7,8.806e-09
16.8,9.292e-09
16.9,8.515e-09
17.0,8.612e-09
17.1,9.098e-09
17.2,9e-09
17.3,9.583e-09
17.4,9.778e-09
17.5,8.903e-09
17.6,9.292e-09
17.7,9e-09
17.8,8.32e-09
17.9,7.641e-09
18.0,8.223e-09
18.1,8.903e-09
18.2,8.612e-09
18.3,8.612e-09
18.4,8.223e-09
18.5,8.806e-09
18.6,8.515e-09
18.7,9.195e-09
18.8,8.612e-09
18.9,7.932e-09
19.0,8.806e-09
19.1,8.32e-09
19.2,8.515e-09
19.3,9e-09
19.4,8.223e-09
19.5,1.036e-08
19.6,9.875e-09
19.7,1.017e-08
19.8,9.875e-09
19.9,9.486e-09
20.0,1.036e-08
20.1,9.778e-09
20.2,9.68e-09
20.3,1.065e-08
20.4,1.017e-08
20.5,9.292e-09
20.6,9.292e-09
20.7,8.806e-09
20.8,8.709e-09
20.9,8.806e-09
21.0,9.68e-09
21.1,9.389e-09
21.2,9.875e-09
21.3,8.709e-09
21.4,8.515e-09
21.5,7.835e-09
21.6,8.418e-09
21.7,8.126e-09
21.8,8.32e-09
21.9,7.155e-09
22.0,7.252e-09
22.1,8.223e-09
22.2,8.515e-09
22.3,8.806e-09
22.4,8.612e-09
22.5,7.835e-09
22.6,7.738e-09
22.7,7.641e-09
22.8,8.612e-09
22.9,8.126e-09
23.0,9.098e-09
23.1,9e-09
23.2,8.709e-09
23.3,8.612e-09
23.4,9.389e-09
23.5,8.418e-09
23.6,8.806e-09
23.7,8.418e-09
23.8,8.32e-09
23.9,8.612e-09
24.0,8.126e-09
24.1,9e-09
24.2,9.292e-09
24.3,9.972e-09
24.4,9.486e-09
24.5,8.32e-09
24.6,8.515e-09
24.7,8.32e-09
24.8,7.155e-09
24.9,7.835e-09
25.0,7.738e-09
25.1,8.903e-09
25.2,8.903e-09
25.3,8.806e-09
25.4,7.738e-09
25.5,7.641e-09
25.6,8.418e-09
25.7,8.32e-09
25.8,7.738e-09
25.9,9.389e-09
26.0,9.098e-09
26.1,9.68e-09
26.2,9.389e-09
26.3,9.389e-09
26.4,8.32e-09
26.5,7.835e-09
26.6,8.903e-09
26.7,8.612e-09
26.8,7.349e-09
26.9,8.223e-09
27.0,8.126e-09
27.1,8.903e-09
27.2,8.709e-09
27.3,8.903e-09
27.4,8.903e-09
27.5,9.098e-09
27.6,9.098e-09
27.7,7.835e-09
27.8,7.155e-09
27.9,8.126e-09
28.0,8.515e-09
28.1,8.029e-09
28.2,8.32e-09
28.3,8.903e-09
28.4,9.583e-09
28.5,7.835e-09
28.6,9e-09
28.7,8.903e-09
28.8,9e-09
28.9,9.292e-09
29.0,8.709e-09
29.1,8.709e-09
29.2,8.029e-09
29.3,8.126e-09
29.4,8.806e-09
29.5,8.806e-09
29.6,7.641e-09
29.7,6.572e-09
29.8,6.961e-09
29.9,8.223e-09
30.0,8.029e-09
30.1,7.641e-09
30.2,8.32e-09
30.3,9e-09
30.4,8.709e-09
30.5,8.709e-09
30.6,8.515e-09
30.7,8.223e-09
30.8,8.612e-09
30.9,8.32e-09
31.0,8.515e-09
31.1,8.126e-09
31.2,7.349e-09
31.3,8.126e-09
31.4,8.903e-09
31.5,8.709e-09
31.6,9.195e-09
31.7,7.835e-09
31.8,7.349e-09
31.9,7.446e-09
32.0,8.709e-09
32.1,9.098e-09
32.2,8.32e-09
32.3,8.612e-09
32.4,8.515e-09
32.5,8.223e-09
32.6,8.32e-09
32.7,7.835e-09
32.8,7.641e-09
32.9,7.932e-09
33.0,8.223e-09
33.1,8.612e-09
33.2,8.223e-09
33.3,8.709e-09
33.4,8.223e-09
33.5,8.612e-09
33.6,8.32e-09
33.7,8.126e-09
33.8,8.126e-09
33.9,8.709e-09
34.0,8.903e-09
34.1,9.195e-09
34.2,9.195e-09
34.3,8.709e-09
34.4,8.515e-09
34.5,8.806e-09
34.6,8.709e-09
34.7,7.155e-09
34.8,6.086e-09
34.9,5.795e-09
35.0,6.086e-09
35.1,6.669e-09
35.2,7.252e-09
35.3,6.378e-09
35.4,6.766e-09
35.5,6.475e-09
35.6,5.698e-09
35.7,5.989e-09
35.8,5.212e-09
35.9,6.378e-09
36.0,6.766e-09
36.1,6.183e-09
36.2,7.155e-09
36.3,6.572e-09
36.4,7.738e-09
36.5,6.766e-09
36.6,6.572e-09
36.7,6.863e-09
36.8,7.155e-09
36.9,6.378e-09
37.0,7.835e-09
37.1,8.029e-09
37.2,7.932e-09
37.3,7.932e-09
37.4,7.543e-09
37.5,7.446e-09
37.6,5.989e-09
37.7,6.475e-09
37.8,5.989e-09
37.9,6.183e-09
38.0,7.058e-09
38.1,6.766e-09
38.2,6.766e-09
38.3,6.475e-09
38.4,7.349e-09
38.5,6.961e-09
38.6,6.572e-09
38.7,6.961e-09
38.8,6.766e-09
38.9,6.281e-09
39.0,7.058e-09
39.1,7.446e-09
39.2,7.155e-09
39.3,8.126e-09
39.4,6.669e-09
39.5,7.252e-09
39.6,7.543e-09
39.7,7.058e-09
39.8,7.058e-09
39.9,7.058e-09
40.0,7.058e-09
40.1,6.961e-09
40.2,8.126e-09
40.3,8.029e-09
40.4,7.738e-09
40.5,8.029e-09
40.6,7.932e-09
40.7,7.835e-09
40.8,6.961e-09
40.9,6.961e-09
41.0,5.892e-09
41.1,6.863e-09
41.2,6.863e-09
41.3,7.543e-09
41.4,6.961e-09
41.5,7.252e-09
41.6,5.989e-09
41.7,5.698e-09
41.8,5.795e-09
41.9,6.475e-09
42.0,6.766e-09
42.1,7.155e-09
42.2,4.726e-09
42.3,5.406e-09
42.4,5.601e-09
42.5,6.086e-09
42.6,6.766e-09
42.7,6.281e-09
42.8,6.378e-09
42.9,5.989e-09
43.0,6.961e-09
43.1,6.281e-09
43.2,6.183e-09
43.3,6.086e-09
43.4,6.378e-09
43.5,6.766e-09
43.6,6.086e-09
43.7,5.115e-09
43.8,5.601e-09
43.9,6.183e-09
44.0,6.669e-09
44.1,6.572e-09
44.2,6.086e-09
44.3,7.058e-09
44.4,7.252e-09
44.5,7.543e-09
44.6,6.863e-09
44.7,7.349e-09
44.8,6.572e-09
44.9,7.155e-09
45.0,6.961e-09
45.1,6.863e-09
45.2,7.252e-09
45.3,7.543e-09
45.4,7.058e-09
45.5,6.475e-09
45.6,6.669e-09
45.7,6.475e-09
45.8,6.961e-09
45.9,6.766e-09
46.0,6.863e-09
46.1,7.252e-09
46.2,7.446e-09
46.3,7.543e-09
46.4,7.543e-09
46.5,6.961e-09
46.6,6.378e-09
46.7,6.863e-09
46.8,6.961e-09
46.9,6.766e-09
47.0,7.155e-09
47.1,7.641e-09
47.2,7.058e-09
47.3,7.349e-09
47.4,7.738e-09
47.5,7.641e-09
47.6,7.835e-09
47.7,5.892e-09
47.8,6.183e-09
47.9,6.086e-09
48.0,6.475e-09
48.1,7.058e-09
48.2,6.669e-09
48.3,6.281e-09
48.4,6.572e-09
48.5,6.572e-09
48.6,7.058e-09
48.7,7.155e-09
48.8,6.475e-09
48.9,6.669e-09
49.0,7.252e-09
49.1,6.183e-09
49.2,6.572e-09
49.3,7.641e-09
49.4,7.738e-09
49.5,6.669e-09
49.6,6.281e-09
49.7,5.795e-09
49.8,6.378e-09
49.9,6.183e-09
50.0,6.475e-09
50.1,6.669e-09
50.2,6.086e-09
50.3,6.475e-09
50.4,5.698e-09
50.5,5.892e-09
50.6,5.115e-09
50.7,5.309e-09
50.8,4.726e-09
50.9,4.532e-09
