# technique: EIS
# step_index: 4
# timestamp: 2026-02-23T19:09:39.365194
# data_points: 60
# param_e0: 0.0
# param_seg_num: 1
# param_sample_interval_ms: 100
# param_elapsed_time: 230.9s
Freq/Hz,Z'/ohm,"Z""/ohm",Z/ohm,Phase/deg
82520.0,-14100.0,-162800.0,163500.0,-94.9
68120.0,-116600.0,-204100.0,235000.0,-119.7
56230.0,11590.0,-490500.0,490600.0,-88.6
46400.0,51920.0,-411400.0,414700.0,-82.8
38280.0,46640.0,-452000.0,454400.0,-84.1
31590.0,3679.0,-481200.0,481200.0,-89.6
26070.0,-16060.0,-607300.0,607500.0,-91.5
21530.0,80970.0,-746400.0,750800.0,-83.8
17770.0,196800.0,-954300.0,974400.0,-78.3
14670.0,203100.0,-1276000.0,1292000.0,-81.0
12110.0,158500.0,-1616000.0,1624000.0,-84.4
9985.0,110000.0,-1885000.0,1888000.0,-86.7
8179.0,63110.0,-2183000.0,2184000.0,-88.3
6738.0,3413.0,-2565000.0,2565000.0,-89.9
5566.0,-77620.0,-3104000.0,3105000.0,-91.4
4590.0,-169600.0,-3751000.0,3755000.0,-92.6
3809.0,4163.0,-4427000.0,4427000.0,-89.9
3125.0,160500.0,-5333000.0,5335000.0,-88.3
2588.0,117800.0,-6217000.0,6218000.0,-88.9
2148.0,294300.0,-7135000.0,7141000.0,-87.6
1758.0,532400.0,-8736000.0,8752000.0,-86.5
1465.0,1495000.0,-11570000.0,11670000.0,-82.6
1196.0,-716900.0,-10660000.0,10680000.0,-93.8
976.6,-2996000.0,-10670000.0,11080000.0,-105.7
825.4,-1314000.0,-15870000.0,15920000.0,-94.7
681.3,579000.0,-21700000.0,21710000.0,-88.5
562.3,1822000.0,-27790000.0,27850000.0,-86.2
464.2,3596000.0,-34060000.0,34250000.0,-84.0
383.1,4095000.0,-41500000.0,41700000.0,-84.4
316.2,1700000.0,-49510000.0,49540000.0,-88.0
261.0,724700.0,-60220000.0,60220000.0,-89.3
215.4,4764000.0,-69550000.0,69710000.0,-86.1
177.8,-490400.0,-79720000.0,79720000.0,-90.4
146.8,1424000.0,-93130000.0,93140000.0,-89.1
121.2,18340000.0,-105600000.0,107200000.0,-80.1
100.0,24600000.0,-123100000.0,125600000.0,-78.7
82.54,13570000.0,-153500000.0,154100000.0,-85.0
68.12,18010000.0,-159700000.0,160700000.0,-83.6
56.25,88570000.0,-165400000.0,187600000.0,-61.8
46.42,302000000.0,-264300000.0,401300000.0,-41.2
38.31,381600000.0,-442800000.0,584600000.0,-49.2
31.62,238400000.0,-629800000.0,673400000.0,-69.3
26.09,32770000.0,-727100000.0,727800000.0,-87.4
21.54,-126900000.0,-728400000.0,739400000.0,-99.9
17.78,-89900000.0,-752100000.0,757500000.0,-96.8
14.68,81410000.0,-905100000.0,908700000.0,-84.9
12.12,155100000.0,-771900000.0,787300000.0,-78.6
10.0,107900000.0,-604400000.0,614000000.0,-79.9
8.257,179700.0,-736400000.0,736400000.0,-90.0
6.818,-76580000.0,-668000000.0,672300000.0,-96.5
5.625,39530000.0,-998000000.0,998800000.0,-87.7
5.0,54360000.0,-1008000000.0,1009000000.0,-86.9
3.75,-372700000.0,9194000.0,372800000.0,178.6
3.0,-526300000.0,-597300000.0,796100000.0,-131.4
2.5,-394900000.0,-1795000000.0,1838000000.0,-102.4
2.143,-337900000.0,-1641000000.0,1676000000.0,-101.6
1.875,1544000.0,-1150000000.0,1150000000.0,-89.9
1.5,87740000.0,-2838000000.0,2840000000.0,-88.2
1.25,-301900000.0,-5556000000.0,5564000000.0,-93.1
1.0,-1116000000.0,-7602000000.0,7683000000.0,-98.4
