# technique: OCPT
# step_index: 5
# timestamp: 2026-02-23T19:10:58.351503
# data_points: 60
# param_eh: 10.0
# param_el: -10.0
# param_seg_num: 1
# param_run_time_s: 60.0
# param_sample_interval_ms: 1000
# param_elapsed_time: 69.5s
Time/sec,Potential/V
1.0,-3.027e-05
2.0,0.0001713
3.0,0.0007086
4.0,0.001629
5.0,0.00378
6.0,0.004613
7.0,0.004715
8.0,0.00447
9.0,0.006504
10.0,0.006295
11.0,0.006681
12.0,0.007214
13.0,0.007868
14.0,0.008657
15.0,0.009481
16.0,0.01033
17.0,0.01122
18.0,0.0122
19.0,0.01329
20.0,0.01445
21.0,0.01691
22.0,0.0213
23.0,0.02053
24.0,0.02175
25.0,0.02628
26.0,0.02603
27.0,0.0285
28.0,0.02782
29.0,0.02783
30.0,0.02905
31.0,0.03077
32.0,0.0315
33.0,0.03265
34.0,0.03399
35.0,0.03543
36.0,0.0369
37.0,0.03856
38.0,0.04002
39.0,0.04167
40.0,0.04326
41.0,0.04466
42.0,0.04636
43.0,0.0515
44.0,0.05167
45.0,0.05438
46.0,0.05456
47.0,0.05571
48.0,0.05706
49.0,0.05852
50.0,0.06001
51.0,0.06162
52.0,0.06311
53.0,0.06649
54.0,0.07348
55.0,0.07453
56.0,0.07755
57.0,0.08187
58.0,0.08139
59.0,0.08233
60.0,0.0834
