# technique: CV
# step_index: 1
# timestamp: 2026-02-23T19:17:14.769505
# data_points: 500
# param_e0: 0.0
# param_eh: 0.5
# param_el: -0.5
# param_ef: 0.0
# param_scan_rate: 0.05
# param_seg_num: 1
# param_sample_interval_ms: 100
# param_elapsed_time: 17.6s
Potential/V,Current/A
0.0,2.382e-06
0.001,1.981e-06
0.002,2.282e-06
0.003,2.883e-06
0.004,2.582e-06
0.005,3.686e-06
0.006,2.582e-06
0.007,3.084e-06
0.008,3.686e-06
0.009,3.786e-06
0.01,2.984e-06
0.011,2.883e-06
0.012,3.585e-06
0.013,4.187e-06
0.014,4.789e-06
0.015,4.989e-06
0.016,5.19e-06
0.017,4.989e-06
0.018,3.585e-06
0.019,3.184e-06
0.02,3.485e-06
0.021,3.284e-06
0.022,2.582e-06
0.023,2.683e-06
0.024,3.886e-06
0.025,3.686e-06
0.026,3.886e-06
0.027,4.187e-06
0.028,4.287e-06
0.029,5.491e-06
0.03,5.691e-06
0.031,4.488e-06
0.032,4.588e-06
0.033,2.783e-06
0.034,2.282e-06
0.035,3.184e-06
0.036,3.084e-06
0.037,3.184e-06
0.038,3.686e-06
0.039,2.984e-06
0.04,2.984e-06
0.041,2.883e-06
0.042,4.388e-06
0.043,2.582e-06
0.044,2.984e-06
0.045,3.084e-06
0.046,2.482e-06
0.047,2.783e-06
0.048,2.883e-06
0.049,3.485e-06
0.05,3.585e-06
0.051,3.084e-06
0.052,4.287e-06
0.053,3.485e-06
0.054,3.485e-06
0.055,3.886e-06
0.056,4.187e-06
0.057,3.686e-06
0.058,3.284e-06
0.059,2.482e-06
0.06,3.585e-06
0.061,4.087e-06
0.062,3.485e-06
0.063,4.087e-06
0.064,3.686e-06
0.065,2.482e-06
0.066,3.485e-06
0.067,3.986e-06
0.068,4.087e-06
0.069,3.585e-06
0.07,3.786e-06
0.071,3.385e-06
0.072,2.683e-06
0.073,3.585e-06
0.074,3.886e-06
0.075,3.786e-06
0.076,3.385e-06
0.077,3.786e-06
0.078,3.284e-06
0.079,4.688e-06
0.08,4.087e-06
0.081,3.485e-06
0.082,4.187e-06
0.083,3.886e-06
0.084,4.588e-06
0.085,4.388e-06
0.086,2.984e-06
0.087,3.084e-06
0.088,3.284e-06
0.089,2.482e-06
0.09,3.485e-06
0.091,3.886e-06
0.092,3.986e-06
0.093,3.886e-06
0.094,3.786e-06
0.095,2.883e-06
0.096,2.282e-06
0.097,2.582e-06
0.098,3.084e-06
0.099,4.287e-06
0.1,4.287e-06
0.101,3.485e-06
0.102,2.984e-06
0.103,3.786e-06
0.104,2.582e-06
0.105,2.783e-06
0.106,3.485e-06
0.107,3.786e-06
0.108,3.886e-06
0.109,4.789e-06
0.11,3.886e-06
0.111,3.385e-06
0.112,3.485e-06
0.113,3.284e-06
0.114,3.986e-06
0.115,3.986e-06
0.116,4.087e-06
0.117,3.485e-06
0.118,3.786e-06
0.119,4.087e-06
0.12,4.087e-06
0.121,2.984e-06
0.122,4.187e-06
0.123,3.485e-06
0.124,2.984e-06
0.125,2.683e-06
0.126,4.388e-06
0.127,3.986e-06
0.128,4.087e-06
0.129,2.783e-06
0.13,3.184e-06
0.131,3.485e-06
0.132,4.187e-06
0.133,4.989e-06
