# technique: CV
# step_index: 3
# timestamp: 2026-02-27T00:51:55.429471
# data_points: 500
# param_e0: 0.0
# param_eh: 0.5
# param_el: -0.5
# param_ef: 0.0
# param_scan_rate: 0.05
# param_seg_num: 1
# param_sample_interval_ms: 100
# param_elapsed_time: 17.4s
# param_ir_compensation_enabled: False
# param_ir_compensation_ohm: 0
Potential/V,Current/A
0.0,-2.833e-06
0.001,-3.234e-06
0.002,-3.435e-06
0.003,-3.234e-06
0.004,-3.836e-06
0.005,-3.234e-06
0.006,-2.733e-06
0.007,-2.633e-06
0.008,-2.633e-06
0.009,-3.635e-06
0.01,-3.234e-06
0.011,-3.335e-06
0.012,-2.532e-06
0.013,-2.231e-06
0.014,-2.833e-06
0.015,-2.933e-06
0.016,-2.532e-06
0.017,-2.532e-06
0.018,-3.134e-06
0.019,-3.535e-06
0.02,-3.034e-06
0.021,-4.237e-06
0.022,-4.438e-06
0.023,-3.736e-06
0.024,-3.635e-06
0.025,-4.037e-06
0.026,-4.037e-06
0.027,-3.335e-06
0.028,-3.335e-06
0.029,-3.234e-06
0.03,-3.335e-06
0.031,-3.335e-06
0.032,-2.432e-06
0.033,-3.435e-06
0.034,-3.435e-06
0.035,-4.037e-06
0.036,-3.134e-06
0.037,-2.833e-06
0.038,-3.234e-06
0.039,-3.034e-06
0.04,-2.933e-06
0.041,-3.234e-06
0.042,-3.134e-06
0.043,-2.833e-06
0.044,-2.733e-06
0.045,-3.234e-06
0.046,-4.237e-06
0.047,-4.438e-06
0.048,-4.137e-06
0.049,-3.234e-06
0.05,-2.833e-06
0.051,-3.936e-06
0.052,-4.438e-06
0.053,-3.435e-06
0.054,-4.638e-06
0.055,-5.34e-06
0.056,-3.936e-06
0.057,-4.438e-06
0.058,-5.039e-06
0.059,-4.438e-06
0.06,-4.037e-06
0.061,-4.237e-06
0.062,-4.538e-06
0.063,-4.037e-06
0.064,-3.936e-06
0.065,-4.839e-06
0.066,-4.237e-06
0.067,-4.237e-06
0.068,-4.538e-06
0.069,-3.836e-06
0.07,-4.037e-06
0.071,-4.237e-06
0.072,-3.936e-06
0.073,-4.939e-06
0.074,-5.842e-06
0.075,-3.836e-06
0.076,-3.635e-06
0.077,-3.134e-06
0.078,-2.432e-06
0.079,-2.231e-06
0.08,-1.83e-06
0.081,-3.134e-06
0.082,-2.332e-06
0.083,-2.833e-06
0.084,-3.335e-06
0.085,-3.335e-06
0.086,-4.638e-06
0.087,-4.739e-06
0.088,-3.936e-06
0.089,-3.535e-06
