# technique: LSV
# step_index: 0
# timestamp: 2026-03-12T22:24:53.840309
# data_points: 1000
# param_e0: 0.0
# param_ef: 1.0
# param_scan_rate: 0.05
# param_seg_num: 1
# param_sample_interval_ms: 1
# param_elapsed_time: 29.3s
# param_ir_compensation_enabled: False
# param_ir_compensation_ohm: 0
Potential/V,Current/A
0.0,1.58e-06
0.001,2.081e-06
0.002,1.88e-06
0.003,5.766e-07
0.004,3.761e-07
0.005,5.766e-07
0.006,6.769e-07
0.007,-3.259e-07
0.008,6.769e-07
0.009,5.766e-07
0.01,7.772e-07
0.011,9.778e-07
0.012,1.58e-06
0.013,2.382e-06
0.014,7.521e-08
0.015,9.778e-07
0.016,-6.268e-07
0.017,4.764e-07
0.018,1.178e-06
0.019,8.775e-07
0.02,7.772e-07
0.021,-2.256e-07
0.022,8.775e-07
0.023,1.379e-06
0.024,2.382e-06
0.025,1.68e-06
0.026,2.282e-06
0.027,2.482e-06
0.028,2.683e-06
0.029,1.58e-06
0.03,8.775e-07
0.031,1.58e-06
0.032,1.78e-06
0.033,5.766e-07
0.034,3.761e-07
0.035,-2.507e-08
0.036,1.379e-06
0.037,2.783e-06
0.038,2.282e-06
0.039,5.766e-07
0.04,-2.432e-06
0.041,-2.833e-06
0.042,-2.231e-06
0.043,1.755e-07
0.044,-3.259e-07
0.045,-1.329e-06
0.046,-1.429e-06
0.047,7.521e-08
0.048,2.758e-07
0.049,1.178e-06
0.05,-2.507e-08
0.051,-2.256e-07
0.052,-2.507e-08
0.053,-2.256e-07
0.054,-1.63e-06
0.055,-4.262e-07
0.056,-2.507e-08
0.057,-7.271e-07
0.058,-1.254e-07
0.059,-2.507e-08
0.06,3.761e-07
0.061,1.379e-06
0.062,1.379e-06
0.063,1.68e-06
0.064,1.178e-06
0.065,1.981e-06
0.066,7.772e-07
0.067,1.78e-06
0.068,1.479e-06
0.069,9.778e-07
0.07,1.078e-06
0.071,1.279e-06
0.072,8.775e-07
0.073,9.778e-07
0.074,4.764e-07
0.075,4.764e-07
0.076,6.769e-07
0.077,6.769e-07
0.078,-2.256e-07
0.079,-4.262e-07
0.08,-2.256e-07
0.081,7.521e-08
0.082,-2.507e-08
0.083,-2.507e-08
0.084,4.764e-07
0.085,1.078e-06
0.086,9.778e-07
0.087,-1.329e-06
0.088,-6.268e-07
0.089,-1.028e-06
0.09,4.764e-07
0.091,1.178e-06
0.092,1.178e-06
0.093,1.279e-06
0.094,1.479e-06
0.095,1.078e-06
0.096,8.775e-07
0.097,-7.271e-07
0.098,-1.128e-06
0.099,-8.274e-07
0.1,-2.256e-07
0.101,-7.271e-07
0.102,-1.128e-06
0.103,-8.274e-07
0.104,7.521e-08
0.105,8.775e-07
0.106,8.775e-07
0.107,1.755e-07
0.108,-7.271e-07
0.109,-1.254e-07
0.11,7.521e-08
0.111,1.755e-07
0.112,-2.256e-07
0.113,-6.268e-07
0.114,-3.259e-07
0.115,-3.259e-07
0.116,-1.254e-07
0.117,-4.262e-07
0.118,-7.271e-07
0.119,-7.271e-07
0.12,-4.262e-07
0.121,-2.332e-06
0.122,-1.028e-06
0.123,-9.276e-07
0.124,-8.274e-07
0.125,-1.229e-06
0.126,-2.933e-06
0.127,-3.335e-06
0.128,-2.532e-06
0.129,-2.432e-06
0.13,-2.256e-07
0.131,6.769e-07
0.132,5.766e-07
0.133,1.178e-06
0.134,1.58e-06
0.135,8.775e-07
0.136,1.078e-06
0.137,5.766e-07
0.138,7.772e-07
0.139,6.769e-07
0.14,6.769e-07
0.141,7.521e-08
0.142,-1.028e-06
0.143,-8.274e-07
0.144,7.772e-07
0.145,5.766e-07
0.146,-2.256e-07
0.147,1.479e-06
0.148,2.282e-06
0.149,8.775e-07
0.15,1.58e-06
0.151,-2.507e-08
0.152,-5.265e-07
0.153,-9.276e-07
0.154,-2.131e-06
0.155,-1.329e-06
0.156,-3.259e-07
0.157,-3.259e-07
0.158,-2.507e-08
0.159,-2.256e-07
0.16,-8.274e-07
0.161,-5.265e-07
0.162,-4.262e-07
0.163,4.764e-07
0.164,1.479e-06
0.165,1.479e-06
0.166,1.078e-06
0.167,1.078e-06
0.168,1.178e-06
0.169,1.279e-06
0.17,6.769e-07
0.171,-1.028e-06
0.172,1.755e-07
0.173,2.081e-06
0.174,2.382e-06
0.175,2.783e-06
0.176,2.482e-06
0.177,1.78e-06
0.178,2.382e-06
0.179,2.582e-06
0.18,2.482e-06
0.181,2.582e-06
0.182,1.58e-06
0.183,1.68e-06
0.184,1.78e-06
0.185,1.68e-06
0.186,1.279e-06
0.187,1.379e-06
0.188,2.181e-06
0.189,1.379e-06
0.19,-2.507e-08
0.191,1.178e-06
0.192,1.981e-06
0.193,1.78e-06
0.194,1.58e-06
0.195,1.68e-06
0.196,1.279e-06
0.197,2.181e-06
0.198,1.379e-06
0.199,6.769e-07
0.2,-2.256e-07
0.201,-7.271e-07
0.202,-4.262e-07
0.203,-9.276e-07
0.204,-1.229e-06
0.205,-1.028e-06
0.206,-1.254e-07
0.207,6.769e-07
0.208,1.755e-07
0.209,2.758e-07
0.21,4.764e-07
0.211,-2.256e-07
0.212,4.764e-07
0.213,9.778e-07
0.214,7.772e-07
0.215,-1.254e-07
0.216,1.755e-07
0.217,1.58e-06
0.218,1.58e-06
0.219,1.379e-06
0.22,7.772e-07
0.221,5.766e-07
0.222,1.479e-06
0.223,1.68e-06
0.224,2.081e-06
0.225,2.181e-06
0.226,2.883e-06
0.227,1.981e-06
0.228,1.981e-06
0.229,9.778e-07
0.23,1.68e-06
0.231,2.758e-07
0.232,1.755e-07
0.233,8.775e-07
0.234,1.379e-06
0.235,1.379e-06
0.236,3.761e-07
0.237,1.755e-07
0.238,3.761e-07
0.239,8.775e-07
0.24,1.379e-06
0.241,6.769e-07
0.242,9.778e-07
0.243,5.766e-07
0.244,-2.256e-07
0.245,1.078e-06
0.246,1.479e-06
0.247,7.772e-07
0.248,1.379e-06
0.249,-1.254e-07
0.25,-1.028e-06
0.251,-1.429e-06
0.252,-5.265e-07
0.253,4.764e-07
0.254,3.761e-07
0.255,5.766e-07
0.256,1.078e-06
0.257,5.766e-07
0.258,1.078e-06
0.259,1.078e-06
0.26,1.755e-07
0.261,-1.028e-06
0.262,3.761e-07
0.263,8.775e-07
0.264,2.282e-06
0.265,1.078e-06
0.266,1.755e-07
0.267,1.178e-06
0.268,1.755e-07
0.269,1.755e-07
0.27,5.766e-07
0.271,-3.259e-07
0.272,-1.254e-07
0.273,1.078e-06
0.274,7.772e-07
0.275,7.772e-07
0.276,4.764e-07
0.277,8.775e-07
0.278,1.279e-06
0.279,9.778e-07
0.28,1.078e-06
0.281,5.766e-07
0.282,1.479e-06
0.283,-2.507e-08
0.284,6.769e-07
0.285,3.761e-07
0.286,4.764e-07
0.287,9.778e-07
0.288,1.379e-06
0.289,1.88e-06
0.29,1.078e-06
0.291,1.078e-06
0.292,9.778e-07
0.293,1.178e-06
0.294,6.769e-07
0.295,2.758e-07
0.296,3.761e-07
0.297,1.755e-07
0.298,9.778e-07
0.299,1.279e-06
0.3,1.178e-06
0.301,6.769e-07
0.302,5.766e-07
0.303,3.761e-07
0.304,3.761e-07
0.305,6.769e-07
0.306,1.279e-06
0.307,1.58e-06
0.308,4.764e-07
0.309,7.521e-08
0.31,6.769e-07
0.311,5.766e-07
0.312,9.778e-07
0.313,2.783e-06
0.314,1.58e-06
0.315,1.981e-06
0.316,2.181e-06
0.317,1.88e-06
0.318,2.883e-06
0.319,1.88e-06
0.32,1.88e-06
0.321,7.772e-07
0.322,7.772e-07
0.323,1.755e-07
0.324,8.775e-07
0.325,1.479e-06
0.326,1.379e-06
0.327,9.778e-07
0.328,1.68e-06
0.329,1.68e-06
0.33,1.88e-06
0.331,1.078e-06
0.332,2.482e-06
0.333,1.88e-06
0.334,1.88e-06
0.335,1.78e-06
0.336,9.778e-07
0.337,1.379e-06
0.338,1.88e-06
0.339,2.482e-06
0.34,1.78e-06
0.341,2.081e-06
0.342,2.482e-06
0.343,1.981e-06
0.344,9.778e-07
0.345,3.761e-07
0.346,9.778e-07
0.347,1.479e-06
0.348,2.081e-06
0.349,6.769e-07
0.35,7.521e-08
0.351,1.755e-07
0.352,-1.028e-06
0.353,2.758e-07
0.354,-2.507e-08
0.355,-1.254e-07
0.356,1.755e-07
0.357,1.755e-07
0.358,-1.128e-06
0.359,-1.229e-06
0.36,-1.254e-07
0.361,7.521e-08
0.362,-7.271e-07
0.363,7.521e-08
0.364,3.761e-07
0.365,1.279e-06
0.366,1.755e-07
0.367,2.758e-07
0.368,5.766e-07
0.369,5.766e-07
0.37,-3.259e-07
0.371,8.775e-07
0.372,6.769e-07
0.373,6.769e-07
0.374,7.772e-07
0.375,-1.254e-07
0.376,5.766e-07
0.377,4.764e-07
0.378,5.766e-07
0.379,4.764e-07
0.38,5.766e-07
0.381,-2.507e-08
0.382,5.766e-07
0.383,4.764e-07
0.384,-2.256e-07
0.385,-4.262e-07
0.386,7.521e-08
0.387,2.758e-07
0.388,6.769e-07
0.389,7.521e-08
0.39,-5.265e-07
0.391,3.761e-07
0.392,-7.271e-07
0.393,4.764e-07
0.394,4.764e-07
0.395,1.755e-07
0.396,1.755e-07
0.397,3.761e-07
0.398,5.766e-07
0.399,1.279e-06
0.4,4.764e-07
0.401,1.755e-07
0.402,2.758e-07
0.403,-6.268e-07
0.404,-4.262e-07
0.405,1.755e-07
0.406,7.772e-07
0.407,7.521e-08
0.408,-2.256e-07
0.409,4.764e-07
0.41,6.769e-07
0.411,-4.262e-07
0.412,6.769e-07
0.413,3.761e-07
0.414,8.775e-07
0.415,9.778e-07
0.416,1.379e-06
0.417,4.764e-07
0.418,1.755e-07
0.419,1.078e-06
0.42,7.521e-08
0.421,9.778e-07
0.422,2.683e-06
0.423,1.68e-06
0.424,1.78e-06
0.425,1.68e-06
0.426,1.379e-06
0.427,1.078e-06
0.428,2.758e-07
0.429,7.772e-07
0.43,6.769e-07
0.431,5.766e-07
0.432,2.282e-06
0.433,1.68e-06
0.434,1.479e-06
0.435,1.078e-06
0.436,1.88e-06
0.437,9.778e-07
0.438,3.761e-07
0.439,1.379e-06
0.44,8.775e-07
0.441,1.58e-06
0.442,-4.262e-07
0.443,7.521e-08
0.444,2.758e-07
0.445,4.764e-07
0.446,-5.265e-07
0.447,2.758e-07
0.448,-2.507e-08
0.449,1.279e-06
0.45,1.178e-06
0.451,5.766e-07
0.452,5.766e-07
0.453,5.766e-07
0.454,6.769e-07
0.455,7.772e-07
0.456,1.279e-06
0.457,1.755e-07
0.458,1.755e-07
0.459,-1.254e-07
0.46,-7.271e-07
0.461,2.758e-07
0.462,3.761e-07
0.463,1.279e-06
0.464,6.769e-07
0.465,1.479e-06
0.466,1.279e-06
0.467,3.761e-07
0.468,9.778e-07
0.469,1.178e-06
0.47,1.279e-06
